customer_id,cust_id,customer_name,segment,region,status,created_at,channel,risk_score,revenue_tier,contact_email,contact_phone
C0000021,CUST-000021,customer_000021,B2C,METRO,active,5/25/2024,online,0.7543,standard,customer_000021@example.test,33280598262
C0000022,CUST-000022,customer_000022,B2C,NORTH,suspended,10/28/2025,retail_store,0.6926,standard,customer_000022@example.test,
C0000023,CUST-000023,customer_000023,B2C,EAST,active,4/23/2024,retail_store,0.3092,standard,customer_000023@example.test,
C0000024,CUST-000024,customer_000024,B2C,EAST,active,5/23/2022,call_center,0.735,standard,customer_000024@example.test,33868501429
C0000025,CUST-000025,customer_000025,B2C,NORTH,active,12/9/2023,call_center,0,standard,customer_000025@example.test,33934060883
C0000026,CUST-000026,customer_000026,B2C,METRO,churned,9/20/2025,online,0.5966,standard,customer_000026@example.test,33484656482
C0000027,CUST-000027,customer_000027,B2C,WEST,active,12/23/2022,call_center,0.0037,standard,customer_000027@example.test,33369957773
C0000028,CUST-000028,customer_000028,SME,METRO,active,6/23/2022,call_center,0.5819,standard,customer_000028@example.test,33513433200
C0000029,CUST-000029,customer_000029,B2C,NORTH,active,7/13/2025,retail_store,0.3072,standard,customer_000029@example.test,33201632870
C0000030,CUST-000030,customer_000030,SME,NORTH,active,8/9/2024,call_center,0.1377,standard,customer_000030@example.test,33986872774
C0000031,CUST-000031,customer_000031,SME,EAST,active,12/3/2024,partner,0.2267,high,customer_000031@example.test,33455812236
C0000032,CUST-000032,customer_000032,B2C,NORTH,active,11/9/2023,partner,0.224,standard,customer_000032@example.test,33366909670
C0000033,CUST-000033,customer_000033,B2C,WEST,active,5/8/2024,retail_store,0.1748,standard,customer_000033@example.test,33656272980
C0000034,CUST-000034,customer_000034,B2C,METRO,active,8/9/2025,partner,0.363,standard,customer_000034@example.test,33720465375
C0000035,CUST-000035,customer_000035,SME,EAST,active,5/13/2024,call_center,0.4761,standard,customer_000035@example.test,33531003309
C0000036,CUST-000036,customer_000036,B2C,METRO,active,3/23/2023,partner,0.1365,standard,customer_000036@example.test,
C0000037,CUST-000037,customer_000037,B2C,METRO,churned,3/23/2024,retail_store,0.6493,standard,customer_000037@example.test,33149190586
C0000038,CUST-000038,customer_000038,B2C,METRO,active,5/10/2024,partner,0.5049,standard,customer_000038@example.test,33572628498
C0000039,CUST-000039,customer_000039,B2C,METRO,active,10/23/2023,retail_store,0.3955,standard,customer_000039@example.test,33379965075
C0000040,CUST-000040,customer_000040,B2C,EAST,active,5/5/2025,call_center,0.2681,standard,customer_000040@example.test,33831367837
C0000041,CUST-000041,customer_000041,B2C,NORTH,active,3/30/2023,partner,0.2827,standard,customer_000041@example.test,33788568557
C0000042,CUST-000042,customer_000042,B2C,NORTH,active,10/9/2023,online,0.1743,standard,customer_000042@example.test,33233749894
C0000043,CUST-000043,customer_000043,SME,EAST,active,1/3/2023,call_center,0.6208,high,customer_000043@example.test,33842710947
C0000044,CUST-000044,customer_000044,B2C,NORTH,active,9/5/2024,online,0.3741,standard,customer_000044@example.test,33671902294
C0000045,CUST-000045,customer_000045,B2C,CENTER,active,5/26/2025,retail_store,0.3846,standard,customer_000045@example.test,33496499091
C0000046,CUST-000046,customer_000046,B2C,SOUTH,active,6/16/2022,retail_store,0.1375,standard,customer_000046@example.test,
C0000047,CUST-000047,customer_000047,B2C,EAST,active,7/18/2024,online,0.1586,standard,customer_000047@example.test,33936183242
C0000048,CUST-000048,customer_000048,B2C,EAST,active,3/11/2025,call_center,0,standard,customer_000048@example.test,33746488771
C0000049,CUST-000049,customer_000049,SME,METRO,active,5/28/2023,online,0.8223,standard,customer_000049@example.test,33049027874
C0000050,CUST-000050,customer_000050,B2C,METRO,active,7/6/2022,partner,0.6553,standard,customer_000050@example.test,33551256746
C0000051,CUST-000051,customer_000051,B2C,WEST,active,6/1/2023,call_center,0.6325,standard,customer_000051@example.test,33087603859
C0000052,CUST-000052,customer_000052,B2C,NORTH,active,1/29/2025,retail_store,0.602,standard,customer_000052@example.test,
C0000053,CUST-000053,customer_000053,B2C,SOUTH,suspended,8/3/2024,online,0.2737,standard,customer_000053@example.test,33484677378
C0000054,CUST-000054,customer_000054,B2C,CENTER,active,10/7/2022,online,0.2482,standard,customer_000054@example.test,33658404499
C0000055,CUST-000055,customer_000055,B2C,SOUTH,active,9/18/2024,call_center,0.1652,standard,customer_000055@example.test,33533963605
C0000056,CUST-000056,customer_000056,B2C,WEST,active,9/21/2025,retail_store,0.6743,standard,customer_000056@example.test,33028951718
C0000057,CUST-000057,customer_000057,B2C,SOUTH,active,9/2/2025,retail_store,0.6921,standard,customer_000057@example.test,
C0000058,CUST-000058,customer_000058,B2C,METRO,active,8/12/2023,retail_store,0.5238,standard,customer_000058@example.test,33611724005
C0000059,CUST-000059,customer_000059,B2C,EAST,active,5/16/2023,partner,0,standard,customer_000059@example.test,33196937923
C0000060,CUST-000060,customer_000060,B2C,EAST,active,8/10/2024,call_center,0.193,standard,customer_000060@example.test,33217594647
C0000061,CUST-000061,customer_000061,B2C,WEST,active,8/7/2022,retail_store,0.1975,standard,customer_000061@example.test,33406409097
C0000062,CUST-000062,customer_000062,SME,SOUTH,active,12/23/2023,retail_store,0.4907,standard,customer_000062@example.test,33210470952
C0000063,CUST-000063,customer_000063,B2C,METRO,active,2/16/2023,retail_store,0.4523,standard,customer_000063@example.test,33842474517
C0000064,CUST-000064,customer_000064,B2C,SOUTH,active,10/13/2025,partner,0,standard,customer_000064@example.test,33851604817
C0000065,CUST-000065,customer_000065,B2C,EAST,active,7/31/2025,call_center,0.4748,standard,,33859317461
C0000066,CUST-000066,customer_000066,ENTERPRISE,EAST,suspended,7/19/2022,retail_store,0.4511,standard,customer_000066@example.test,33758692617
C0000067,CUST-000067,customer_000067,SME,EAST,active,1/29/2024,retail_store,0,standard,customer_000067@example.test,33585064317
C0000068,CUST-000068,customer_000068,B2C,METRO,active,2/13/2022,online,0.5379,standard,customer_000068@example.test,33329318393
C0000069,CUST-000069,customer_000069,B2C,SOUTH,active,5/5/2025,online,0.2421,standard,customer_000069@example.test,33842102053
C0000070,CUST-000070,customer_000070,B2C,EAST,active,5/12/2024,online,0.9735,standard,customer_000070@example.test,33775891783
C0000071,CUST-000071,customer_000071,B2C,METRO,active,7/27/2024,online,0.5831,standard,customer_000071@example.test,33177115921
C0000072,CUST-000072,customer_000072,B2C,CENTER,active,10/28/2023,partner,0.4437,standard,customer_000072@example.test,33847896118
C0000073,CUST-000073,customer_000073,B2C,WEST,churned,11/26/2023,partner,0.0638,standard,customer_000073@example.test,33545271111
C0000074,CUST-000074,customer_000074,B2C,EAST,active,2/13/2025,online,0.5614,standard,customer_000074@example.test,33885165604
C0000075,CUST-000075,customer_000075,B2C,CENTER,active,11/13/2022,partner,0.367,standard,customer_000075@example.test,33514936899
C0000076,CUST-000076,customer_000076,B2C,CENTER,churned,3/1/2022,retail_store,0.4539,standard,customer_000076@example.test,33455022961
C0000077,CUST-000077,customer_000077,B2C,NORTH,active,12/22/2024,retail_store,0.1777,standard,customer_000077@example.test,33459910229
C0000078,CUST-000078,customer_000078,B2C,WEST,active,9/21/2024,partner,0.5198,standard,customer_000078@example.test,33381561497
C0000079,CUST-000079,customer_000079,B2C,SOUTH,active,5/12/2025,online,0.5361,standard,customer_000079@example.test,33244510762
C0000080,CUST-000080,customer_000080,B2C,SOUTH,active,9/30/2025,call_center,0.359,standard,customer_000080@example.test,33060715969
C0000081,CUST-000081,customer_000081,B2C,EAST,active,2/12/2022,call_center,0.6019,standard,customer_000081@example.test,33516136968
C0000082,CUST-000082,customer_000082,SME,METRO,active,11/14/2023,retail_store,0.8212,high,customer_000082@example.test,33883552312
C0000083,CUST-000083,customer_000083,B2C,SOUTH,active,9/4/2025,online,0.5174,standard,customer_000083@example.test,33997995527
C0000084,CUST-000084,customer_000084,B2C,EAST,active,4/26/2025,online,0.6898,standard,customer_000084@example.test,33147700541
C0000085,CUST-000085,customer_000085,ENTERPRISE,NORTH,active,11/4/2024,partner,0.0779,standard,customer_000085@example.test,33793597820
C0000086,CUST-000086,customer_000086,SME,EAST,suspended,10/30/2024,retail_store,0.4149,high,customer_000086@example.test,33788925546
C0000087,CUST-000087,customer_000087,B2C,CENTER,active,7/16/2025,call_center,0.4397,standard,customer_000087@example.test,33449251925
C0000088,CUST-000088,customer_000088,B2C,METRO,active,5/3/2025,online,0.3894,standard,customer_000088@example.test,33652816850
C0000089,CUST-000089,customer_000089,B2C,SOUTH,active,9/22/2024,retail_store,0.3676,standard,customer_000089@example.test,33188805929
C0000090,CUST-000090,customer_000090,B2C,METRO,active,12/6/2022,partner,0.4684,standard,customer_000090@example.test,33537947383
C0000091,CUST-000091,customer_000091,SME,WEST,suspended,1/24/2024,partner,0.1762,high,customer_000091@example.test,33239240758
C0000092,CUST-000092,customer_000092,B2C,CENTER,active,8/7/2023,online,0.3927,standard,customer_000092@example.test,33478261375
C0000093,CUST-000093,customer_000093,B2C,WEST,active,4/28/2023,partner,0.5631,standard,,33152204727
C0000094,CUST-000094,customer_000094,B2C,NORTH,active,3/18/2023,retail_store,0.3427,standard,customer_000094@example.test,33986143410
C0000095,CUST-000095,customer_000095,B2C,CENTER,active,8/16/2022,partner,0.3171,standard,customer_000095@example.test,33324609539
C0000096,CUST-000096,customer_000096,B2C,NORTH,active,1/9/2024,online,0.3271,standard,customer_000096@example.test,33888806706
C0000097,CUST-000097,customer_000097,B2C,NORTH,active,5/19/2022,call_center,0.3679,standard,customer_000097@example.test,33952058527
C0000098,CUST-000098,customer_000098,B2C,SOUTH,active,5/10/2022,partner,0.6714,standard,,33303054868
C0000099,CUST-000099,customer_000099,B2C,METRO,active,1/2/2024,online,0.4814,standard,customer_000099@example.test,33566765277
C0000100,CUST-000100,customer_000100,SME,EAST,active,5/19/2024,online,0.2024,high,customer_000100@example.test,33284511544
C0000101,CUST-000101,customer_000101,B2C,SOUTH,active,12/21/2023,partner,0.7788,standard,customer_000101@example.test,33640165820
C0000102,CUST-000102,customer_000102,B2C,WEST,active,5/18/2022,retail_store,0.4669,standard,customer_000102@example.test,33556909275
C0000103,CUST-000103,customer_000103,B2C,CENTER,active,1/22/2024,partner,0.28,standard,customer_000103@example.test,33027868144
C0000104,CUST-000104,customer_000104,B2C,CENTER,active,10/2/2024,retail_store,0.5135,standard,customer_000104@example.test,33172715518
C0000105,CUST-000105,customer_000105,SME,SOUTH,active,7/30/2025,retail_store,0.4211,high,customer_000105@example.test,33237058957
C0000106,CUST-000106,customer_000106,B2C,CENTER,suspended,9/26/2023,partner,0.0975,standard,customer_000106@example.test,33786691251
C0000107,CUST-000107,customer_000107,B2C,EAST,active,2/3/2025,retail_store,0.3629,standard,customer_000107@example.test,33018242253
C0000108,CUST-000108,customer_000108,ENTERPRISE,EAST,active,5/29/2023,retail_store,0.2351,standard,customer_000108@example.test,33249818299
C0000109,CUST-000109,customer_000109,B2C,METRO,churned,2/28/2025,online,0.374,standard,customer_000109@example.test,33943969078
C0000110,CUST-000110,customer_000110,ENTERPRISE,WEST,active,11/3/2025,partner,0.303,high,customer_000110@example.test,33027677359
C0000111,CUST-000111,customer_000111,SME,EAST,active,12/9/2023,partner,0.4942,standard,customer_000111@example.test,33714732104
C0000112,CUST-000112,customer_000112,SME,WEST,active,11/24/2022,call_center,0.505,standard,customer_000112@example.test,33327877470
C0000113,CUST-000113,customer_000113,B2C,WEST,suspended,4/9/2025,call_center,0.5205,standard,customer_000113@example.test,33748016245
C0000114,CUST-000114,customer_000114,B2C,WEST,active,2/24/2025,retail_store,0.4038,standard,customer_000114@example.test,33416878499
C0000115,CUST-000115,customer_000115,ENTERPRISE,WEST,active,11/26/2023,call_center,0.3546,standard,customer_000115@example.test,33002578729
C0000116,CUST-000116,customer_000116,B2C,CENTER,active,3/15/2024,call_center,0.2035,standard,customer_000116@example.test,33888794705
C0000117,CUST-000117,customer_000117,B2C,WEST,active,11/10/2025,online,0.2082,standard,customer_000117@example.test,33993097289
C0000118,CUST-000118,customer_000118,B2C,METRO,active,3/18/2025,online,0.2511,standard,customer_000118@example.test,33756263689
C0000119,CUST-000119,customer_000119,SME,METRO,active,10/10/2022,retail_store,0,standard,customer_000119@example.test,33278585497
C0000120,CUST-000120,customer_000120,B2C,CENTER,active,9/2/2023,call_center,0.059,standard,customer_000120@example.test,33757584419
C0000121,CUST-000121,customer_000121,B2C,WEST,active,10/27/2022,call_center,0.8795,standard,customer_000121@example.test,33747338484
C0000122,CUST-000122,customer_000122,B2C,CENTER,active,4/14/2022,retail_store,0.4933,standard,customer_000122@example.test,33016571208
C0000123,CUST-000123,customer_000123,B2C,METRO,churned,9/4/2024,retail_store,0.3567,standard,customer_000123@example.test,33019380262
C0000124,CUST-000124,customer_000124,B2C,WEST,active,1/17/2023,call_center,0.1691,standard,customer_000124@example.test,33049915478
C0000125,CUST-000125,customer_000125,SME,SOUTH,active,8/16/2024,call_center,0.3878,high,customer_000125@example.test,33420549329
C0000126,CUST-000126,customer_000126,SME,WEST,active,6/27/2022,partner,0.4507,standard,customer_000126@example.test,33275304637
C0000127,CUST-000127,customer_000127,ENTERPRISE,EAST,active,3/19/2025,online,0.3349,high,customer_000127@example.test,33742684145
C0000128,CUST-000128,customer_000128,B2C,SOUTH,active,7/20/2024,call_center,0.5571,standard,customer_000128@example.test,33878339187
C0000129,CUST-000129,customer_000129,B2C,CENTER,active,1/26/2025,retail_store,0.2375,standard,customer_000129@example.test,33871397187
C0000130,CUST-000130,customer_000130,B2C,CENTER,active,2/28/2025,online,0.2947,standard,customer_000130@example.test,33406403910
C0000131,CUST-000131,customer_000131,B2C,CENTER,suspended,8/24/2024,online,0.318,standard,customer_000131@example.test,33656766182
C0000132,CUST-000132,customer_000132,B2C,SOUTH,churned,12/19/2024,retail_store,0.4848,standard,customer_000132@example.test,33300478686
C0000133,CUST-000133,customer_000133,B2C,EAST,active,1/22/2023,online,0.6666,standard,customer_000133@example.test,33033119079
C0000134,CUST-000134,customer_000134,SME,SOUTH,active,4/3/2024,partner,0.415,high,customer_000134@example.test,33028439599
C0000135,CUST-000135,customer_000135,SME,SOUTH,active,10/21/2022,retail_store,0.1989,standard,customer_000135@example.test,33268705685
C0000136,CUST-000136,customer_000136,B2C,EAST,active,1/6/2025,partner,0.4412,standard,customer_000136@example.test,33342708668
C0000137,CUST-000137,customer_000137,B2C,EAST,active,8/17/2025,online,0.7265,standard,customer_000137@example.test,33304699013
C0000138,CUST-000138,customer_000138,B2C,METRO,active,9/8/2024,retail_store,0.1498,standard,customer_000138@example.test,33540331739
C0000139,CUST-000139,customer_000139,B2C,SOUTH,active,8/3/2023,partner,0.0389,standard,customer_000139@example.test,33587717535
C0000140,CUST-000140,customer_000140,B2C,SOUTH,active,2/3/2022,call_center,0.417,standard,customer_000140@example.test,33996423536
C0000141,CUST-000141,customer_000141,B2C,CENTER,active,11/3/2025,call_center,0.3312,standard,customer_000141@example.test,33772522872
C0000142,CUST-000142,customer_000142,B2C,METRO,suspended,6/2/2022,online,0.758,standard,customer_000142@example.test,33623120387
C0000143,CUST-000143,customer_000143,B2C,METRO,churned,9/12/2025,partner,0.6199,standard,customer_000143@example.test,33084840862
C0000144,CUST-000144,customer_000144,B2C,SOUTH,active,6/23/2025,call_center,0.3768,standard,customer_000144@example.test,33461567933
C0000145,CUST-000145,customer_000145,SME,NORTH,active,8/23/2025,online,0.5288,standard,customer_000145@example.test,33021765918
C0000146,CUST-000146,customer_000146,B2C,METRO,churned,7/10/2023,online,0.4691,standard,customer_000146@example.test,33489025039
C0000147,CUST-000147,customer_000147,SME,WEST,churned,11/29/2022,retail_store,0,standard,customer_000147@example.test,33621850163
C0000148,CUST-000148,customer_000148,B2C,CENTER,churned,10/31/2023,online,0.1758,standard,customer_000148@example.test,33773586629
C0000149,CUST-000149,customer_000149,B2C,CENTER,active,5/20/2023,online,0.4608,standard,customer_000149@example.test,33265511047
C0000150,CUST-000150,customer_000150,B2C,SOUTH,active,6/1/2024,partner,0.4128,standard,customer_000150@example.test,33861015819
C0000151,CUST-000151,customer_000151,B2C,WEST,active,4/27/2024,partner,0.4144,standard,customer_000151@example.test,33398262244
C0000152,CUST-000152,customer_000152,B2C,SOUTH,active,5/12/2024,call_center,0.0025,standard,customer_000152@example.test,33154379937
C0000153,CUST-000153,customer_000153,B2C,WEST,active,6/24/2025,partner,0.4156,standard,customer_000153@example.test,33924593752
C0000154,CUST-000154,customer_000154,ENTERPRISE,EAST,active,7/20/2025,partner,0.1645,standard,customer_000154@example.test,33564651939
C0000155,CUST-000155,customer_000155,B2C,CENTER,active,8/3/2024,retail_store,0.1809,standard,customer_000155@example.test,33672434266
C0000156,CUST-000156,customer_000156,ENTERPRISE,WEST,active,12/30/2024,partner,0.4189,standard,customer_000156@example.test,33589113529
C0000157,CUST-000157,customer_000157,ENTERPRISE,METRO,active,11/11/2023,partner,0.4288,high,customer_000157@example.test,33899375679
C0000158,CUST-000158,customer_000158,B2C,NORTH,active,8/29/2023,partner,0.4119,standard,customer_000158@example.test,33112545738
C0000159,CUST-000159,customer_000159,B2C,WEST,active,7/15/2024,call_center,0.4107,standard,customer_000159@example.test,33051238282
C0000160,CUST-000160,customer_000160,B2C,WEST,active,4/9/2024,retail_store,0.3772,standard,customer_000160@example.test,
C0000161,CUST-000161,customer_000161,B2C,EAST,active,5/9/2022,online,0.4335,standard,customer_000161@example.test,33371478596
C0000162,CUST-000162,customer_000162,B2C,EAST,active,7/26/2024,retail_store,0.0901,standard,customer_000162@example.test,33499125134
C0000163,CUST-000163,customer_000163,B2C,SOUTH,active,5/6/2024,retail_store,0.1443,standard,customer_000163@example.test,33828274225
C0000164,CUST-000164,customer_000164,B2C,EAST,churned,10/7/2022,retail_store,0.2455,standard,customer_000164@example.test,33887676772
C0000165,CUST-000165,customer_000165,B2C,SOUTH,active,7/17/2023,retail_store,0.2202,standard,customer_000165@example.test,33788191485
C0000166,CUST-000166,customer_000166,B2C,METRO,active,3/24/2023,partner,0.3187,standard,customer_000166@example.test,33340745171
C0000167,CUST-000167,customer_000167,B2C,METRO,active,12/20/2023,partner,0.4107,standard,customer_000167@example.test,33309584982
C0000168,CUST-000168,customer_000168,B2C,EAST,active,11/19/2024,online,0.4541,standard,customer_000168@example.test,33604223253
C0000169,CUST-000169,customer_000169,B2C,WEST,active,7/19/2025,call_center,0.2018,standard,customer_000169@example.test,
C0000170,CUST-000170,customer_000170,B2C,METRO,active,7/27/2024,call_center,0.1965,standard,customer_000170@example.test,33863637454
C0000171,CUST-000171,customer_000171,B2C,CENTER,active,12/5/2023,online,0.6459,standard,customer_000171@example.test,33012770632
C0000172,CUST-000172,customer_000172,B2C,EAST,active,1/9/2024,call_center,0.4379,standard,customer_000172@example.test,33206436110
C0000173,CUST-000173,customer_000173,B2C,CENTER,active,10/24/2025,partner,0.6887,standard,customer_000173@example.test,33627136111
C0000174,CUST-000174,customer_000174,SME,SOUTH,active,9/30/2022,retail_store,0.3698,high,customer_000174@example.test,33927532697
C0000175,CUST-000175,customer_000175,B2C,NORTH,active,9/10/2022,partner,0.2112,standard,customer_000175@example.test,33341389994
C0000176,CUST-000176,customer_000176,B2C,METRO,active,2/25/2023,retail_store,0.5372,standard,customer_000176@example.test,33403761379
C0000177,CUST-000177,customer_000177,SME,NORTH,churned,9/28/2022,partner,0.5329,high,customer_000177@example.test,33710910430
C0000178,CUST-000178,customer_000178,ENTERPRISE,WEST,active,7/11/2025,partner,0.1312,high,customer_000178@example.test,33889241418
C0000179,CUST-000179,customer_000179,ENTERPRISE,SOUTH,active,3/11/2024,online,0.2629,standard,customer_000179@example.test,33316179904
C0000180,CUST-000180,customer_000180,B2C,SOUTH,active,10/9/2022,online,0.5693,standard,customer_000180@example.test,33588425241
C0000181,CUST-000181,customer_000181,B2C,WEST,active,5/11/2022,call_center,0.2824,standard,customer_000181@example.test,33785079252
C0000182,CUST-000182,customer_000182,B2C,CENTER,active,8/25/2022,retail_store,0.0696,standard,customer_000182@example.test,33000307562
C0000183,CUST-000183,customer_000183,ENTERPRISE,NORTH,active,9/4/2025,partner,0.3765,standard,customer_000183@example.test,33195180238
C0000184,CUST-000184,customer_000184,ENTERPRISE,NORTH,active,8/2/2023,call_center,0.5141,high,customer_000184@example.test,33053494937
C0000185,CUST-000185,customer_000185,ENTERPRISE,SOUTH,active,1/24/2025,retail_store,0.6487,high,customer_000185@example.test,33050641383
C0000186,CUST-000186,customer_000186,ENTERPRISE,SOUTH,active,7/10/2022,online,0.7642,standard,customer_000186@example.test,33865719182
C0000187,CUST-000187,customer_000187,B2C,CENTER,active,6/9/2024,retail_store,0.3642,standard,customer_000187@example.test,33655743132
C0000188,CUST-000188,customer_000188,B2C,SOUTH,active,7/9/2024,partner,0.5205,standard,customer_000188@example.test,33185374741
C0000189,CUST-000189,customer_000189,SME,EAST,active,11/28/2025,online,0.4445,high,customer_000189@example.test,33568044206
C0000190,CUST-000190,customer_000190,B2C,CENTER,active,8/4/2024,online,0.7731,standard,customer_000190@example.test,33210032365
C0000191,CUST-000191,customer_000191,SME,NORTH,active,6/15/2023,online,0.4296,standard,customer_000191@example.test,33215107029
C0000192,CUST-000192,customer_000192,B2C,WEST,active,10/31/2025,partner,0.361,standard,customer_000192@example.test,33324472099
C0000193,CUST-000193,customer_000193,B2C,WEST,active,2/1/2025,partner,0.5153,standard,customer_000193@example.test,33383806578
C0000194,CUST-000194,customer_000194,B2C,CENTER,active,3/6/2024,call_center,0.4166,standard,customer_000194@example.test,33593040785
C0000195,CUST-000195,customer_000195,ENTERPRISE,SOUTH,active,9/7/2025,retail_store,0.308,standard,customer_000195@example.test,33396522395
C0000196,CUST-000196,customer_000196,B2C,CENTER,active,12/22/2023,retail_store,0.7528,standard,customer_000196@example.test,33378427010
C0000197,CUST-000197,customer_000197,B2C,CENTER,active,11/11/2023,retail_store,0.4197,standard,customer_000197@example.test,33500292185
C0000198,CUST-000198,customer_000198,B2C,METRO,active,7/26/2022,call_center,0.1617,standard,customer_000198@example.test,33226752895
C0000199,CUST-000199,customer_000199,B2C,SOUTH,active,11/11/2025,call_center,0.5976,standard,customer_000199@example.test,33969029593
C0000200,CUST-000200,customer_000200,B2C,WEST,active,6/9/2022,retail_store,0.605,standard,customer_000200@example.test,33521570433
C0000201,CUST-000201,customer_000201,B2C,NORTH,active,4/9/2022,partner,0.1376,standard,customer_000201@example.test,33676586179
C0000202,CUST-000202,customer_000202,B2C,SOUTH,active,3/10/2022,call_center,0.4369,standard,,33411526218
C0000203,CUST-000203,customer_000203,ENTERPRISE,EAST,active,6/10/2025,partner,0.2841,standard,customer_000203@example.test,33620153368
C0000204,CUST-000204,customer_000204,B2C,EAST,active,9/2/2023,retail_store,0.1257,standard,customer_000204@example.test,33698720506
C0000205,CUST-000205,customer_000205,SME,METRO,active,2/13/2023,online,0.4829,high,customer_000205@example.test,33146774186
C0000206,CUST-000206,customer_000206,SME,EAST,active,4/2/2022,call_center,0.3717,high,customer_000206@example.test,33490211586
C0000207,CUST-000207,customer_000207,B2C,CENTER,active,3/3/2024,partner,0.6776,standard,customer_000207@example.test,33937416089
C0000208,CUST-000208,customer_000208,SME,METRO,suspended,9/4/2022,partner,0.2781,high,customer_000208@example.test,33332061632
C0000209,CUST-000209,customer_000209,B2C,METRO,suspended,6/28/2022,partner,0.0885,standard,customer_000209@example.test,33870998616
C0000210,CUST-000210,customer_000210,B2C,CENTER,active,7/25/2022,online,0.2533,standard,customer_000210@example.test,33148564679
C0000211,CUST-000211,customer_000211,B2C,EAST,active,6/20/2025,partner,0.7982,standard,customer_000211@example.test,33307450544
C0000212,CUST-000212,customer_000212,B2C,METRO,active,4/12/2023,retail_store,0.4614,standard,customer_000212@example.test,33754691373
C0000213,CUST-000213,customer_000213,B2C,WEST,active,2/5/2024,online,0.2211,standard,customer_000213@example.test,33862890233
C0000214,CUST-000214,customer_000214,B2C,WEST,active,1/9/2024,retail_store,0.3376,standard,customer_000214@example.test,33786103579
C0000215,CUST-000215,customer_000215,ENTERPRISE,WEST,active,12/18/2023,call_center,0.5913,standard,customer_000215@example.test,33406029333
C0000216,CUST-000216,customer_000216,B2C,WEST,active,10/29/2025,online,0.7494,standard,customer_000216@example.test,33229034944
C0000217,CUST-000217,customer_000217,B2C,EAST,active,3/23/2023,partner,0.2641,standard,customer_000217@example.test,33910858994
C0000218,CUST-000218,customer_000218,B2C,NORTH,active,7/21/2023,call_center,0.6026,standard,customer_000218@example.test,33443283096
C0000219,CUST-000219,customer_000219,B2C,METRO,active,10/15/2024,call_center,0.3364,standard,customer_000219@example.test,33099353875
C0000220,CUST-000220,customer_000220,SME,METRO,active,1/6/2023,call_center,0.5787,high,customer_000220@example.test,33482513534
C0000221,CUST-000221,customer_000221,SME,EAST,active,8/26/2023,partner,0.4974,standard,customer_000221@example.test,33917381684
C0000222,CUST-000222,customer_000222,SME,SOUTH,active,2/15/2023,call_center,0.1504,high,customer_000222@example.test,33725217525
C0000223,CUST-000223,customer_000223,B2C,EAST,active,12/12/2022,retail_store,0,standard,customer_000223@example.test,33966667600
C0000224,CUST-000224,customer_000224,B2C,NORTH,suspended,2/6/2022,online,0.3745,standard,customer_000224@example.test,33335421689
