subscriber_id,subscriber_key,client_id,subscriber_id_alt,msisdn,imsi,plan_id,status,activation_date,churn_date,region
S00000057,SUB-00000057,C0000025,SUBSCR-0000057,33495032869,805803526394966,P_BASIC_10,active,2024-08-23,,NORTH
S00000058,SUB-00000058,C0000026,SUBSCR-0000058,33442908859,882384403408767,P_BASIC_10,active,2025-12-24,,METRO
S00000059,SUB-00000059,C0000026,SUBSCR-0000059,33320774132,981416118750234,P_BASIC_10,active,2025-10-21,,METRO
S00000060,SUB-00000060,C0000026,SUBSCR-0000060,33028934804,429091038426646,P_PLUS_40,active,2025-09-30,,METRO
S00000061,SUB-00000061,C0000027,SUBSCR-0000061,33853880184,823425170216505,P_BASIC_10,active,2023-11-09,,WEST
S00000062,SUB-00000062,C0000027,SUBSCR-0000062,33750690492,589731291892202,P_PLUS_40,active,2024-05-19,,WEST
S00000063,SUB-00000063,C0000028,SUBSCR-0000063,33083911363,850836826573675,P_PREMIUM_120,active,2023-07-10,,METRO
S00000064,SUB-00000064,C0000028,SUBSCR-0000064,33553257144,150519976652570,P_PREMIUM_120,active,2023-10-14,,METRO
S00000065,SUB-00000065,C0000028,SUBSCR-0000065,33403667871,218381717173675,P_PREMIUM_120,active,2024-12-23,,METRO
S00000066,SUB-00000066,C0000029,SUBSCR-0000066,33044709892,445121131383701,P_PLUS_40,suspended,2025-09-12,,NORTH
S00000067,SUB-00000067,C0000029,SUBSCR-0000067,33354745763,176402486579638,P_PREMIUM_120,active,2025-07-30,,NORTH
S00000068,SUB-00000068,C0000030,SUBSCR-0000068,33596351824,344971365314983,P_PLUS_40,active,2025-05-09,,NORTH
S00000069,SUB-00000069,C9999995,SUBSCR-0000069,33325741022,782501052850948,P_BIZ_200,active,2024-12-23,,NORTH
S00000070,SUB-00000070,C9999991,SUBSCR-0000070,33710505202,455452971404848,P_PREMIUM_120,active,2025-02-21,,EAST
S00000071,SUB-00000071,C0000031,SUBSCR-0000071,33561894111,978916450214241,P_PREMIUM_120,active,2025-10-06,,EAST
S00000072,SUB-00000072,C0000031,SUBSCR-0000072,33245208567,711646031467844,P_BIZ_200,active,2025-04-26,,EAST
S00000073,SUB-00000073,C0000031,SUBSCR-0000073,33119591600,099143385124297,P_PLUS_40,active,2025-07-21,,EAST
S00000074,SUB-00000074,C0000032,SUBSCR-0000074,33776633461,685595166693341,P_BASIC_10,active,2025-10-20,,NORTH
S00000075,SUB-00000075,C0000032,SUBSCR-0000075,33233990150,324057736460028,P_BASIC_10,active,2024-01-12,,NORTH
S00000076,SUB-00000076,C0000032,SUBSCR-0000076,33672938267,093463149497731,P_BASIC_10,churned,2025-03-04,2025-08-31,NORTH
S00000077,SUB-00000077,C0000033,SUBSCR-0000077,33886374558,069285035915898,P_PLUS_40,active,2025-04-19,,WEST
S00000078,SUB-00000078,C0000034,SUBSCR-0000078,33847011780,949070804574977,P_PLUS_40,active,2025-12-29,,METRO
S00000079,SUB-00000079,C0000035,SUBSCR-0000079,33515475265,118745167025977,P_PREMIUM_120,active,2024-05-19,,EAST
S00000080,SUB-00000080,C0000035,SUBSCR-0000080,33126714109,685835686935865,P_PREMIUM_120,active,2025-03-29,,EAST
S00000081,SUB-00000081,C0000036,SUBSCR-0000081,33879348585,638842807525456,P_BASIC_10,active,2023-11-18,,METRO
S00000082,SUB-00000082,C0000036,SUBSCR-0000082,33415167445,199828785185816,P_PLUS_40,churned,2023-10-05,2025-02-19,METRO
S00000083,SUB-00000083,C0000036,SUBSCR-0000083,33047662945,,P_PLUS_40,active,2024-12-06,,METRO
S00000084,SUB-00000084,C0000037,SUBSCR-0000084,33014157484,983329581828319,P_PLUS_40,active,2024-12-06,,METRO
S00000085,SUB-00000085,C0000038,SUBSCR-0000085,33358942909,534753264226493,P_BASIC_10,active,2024-06-20,,METRO
S00000086,SUB-00000086,C0000038,SUBSCR-0000086,33963152138,040968944377868,P_PREMIUM_120,active,2024-06-12,,METRO
S00000087,SUB-00000087,C0000039,SUBSCR-0000087,33331269573,627639000821922,P_PLUS_40,active,2024-02-26,,METRO
S00000088,SUB-00000088,C0000039,,33392288783,619192623836032,P_PLUS_40,active,2025-04-15,,METRO
S00000089,SUB-00000089,C0000039,SUBSCR-0000089,33608220681,438683351475591,P_PREMIUM_120,active,2024-06-15,,METRO
S00000090,SUB-00000090,C0000040,SUBSCR-0000090,33878556781,027956715584793,P_BASIC_10,churned,2025-10-11,2025-11-15,EAST
S00000091,SUB-00000091,C0000041,SUBSCR-0000091,33305867371,871366211468453,P_BASIC_10,active,2025-07-17,,NORTH
S00000092,SUB-00000092,C0000041,SUBSCR-0000092,33344723113,145526515478757,P_PLUS_40,active,2023-07-04,,NORTH
S00000093,SUB-00000093,C0000041,SUBSCR-0000093,33900031784,928024694879803,P_BIZ_200,suspended,2024-12-05,,NORTH
S00000094,SUB-00000094,C0000042,SUBSCR-0000094,33490117770,292223287314983,P_BASIC_10,active,2025-08-14,,NORTH
S00000095,SUB-00000095,C0000042,SUBSCR-0000095,33232769221,529785049759272,P_PLUS_40,active,2024-07-22,,NORTH
S00000096,SUB-00000096,C0000043,SUBSCR-0000096,33885407888,250469894501973,P_PREMIUM_120,active,2024-08-20,,EAST
S00000097,SUB-00000097,C0000043,SUBSCR-0000097,33962610810,387722289269633,P_BIZ_200,active,2024-05-04,,EAST
S00000098,SUB-00000098,C0000044,SUBSCR-0000098,33330795988,235451917325829,P_BIZ_200,active,2025-03-20,,NORTH
S00000099,SUB-00000099,C9999990,SUBSCR-0000099,33645057363,028326439512759,P_BASIC_10,churned,2024-12-24,2025-06-13,NORTH
S00000100,SUB-00000100,C0000045,SUBSCR-0000100,33792032988,180916176811620,P_PLUS_40,active,2025-06-25,,CENTER
S00000101,SUB-00000101,C0000046,SUBSCR-0000101,33936653666,783368991202448,P_PLUS_40,active,2023-04-29,,SOUTH
S00000102,SUB-00000102,C0000046,SUBSCR-0000102,33094328171,963864326715958,P_PLUS_40,churned,2023-10-02,2024-08-23,SOUTH
S00000103,SUB-00000103,C0000046,SUBSCR-0000103,33271599814,740013027407368,P_PREMIUM_120,active,2023-05-22,,SOUTH
S00000104,SUB-00000104,C0000047,SUBSCR-0000104,33925479476,897259374727076,P_BASIC_10,active,2025-03-01,,EAST
S00000105,SUB-00000105,C0000047,SUBSCR-0000105,33426110467,647935023105499,P_BASIC_10,active,2025-10-12,,EAST
S00000106,SUB-00000106,C0000048,SUBSCR-0000106,33271604362,578684561868036,P_PREMIUM_120,active,2025-05-01,,EAST
S00000107,SUB-00000107,C0000048,SUBSCR-0000107,33871759030,847536965903383,P_BIZ_200,active,2025-11-22,,EAST
S00000108,SUB-00000108,C0000048,SUBSCR-0000108,33764991604,156012079283171,P_BASIC_10,active,2025-07-16,,EAST
S00000109,SUB-00000109,C0000049,SUBSCR-0000109,33222045859,931905824686298,P_BIZ_200,active,2024-09-02,,METRO
S00000110,SUB-00000110,C0000049,SUBSCR-0000110,33966815930,616254704400715,P_PLUS_40,churned,2025-11-12,2025-12-10,METRO
S00000111,SUB-00000111,C0000049,SUBSCR-0000111,33756078212,401447548238267,P_PLUS_40,active,2023-11-04,,METRO
S00000112,SUB-00000112,C0000050,SUBSCR-0000112,33432131461,470780810088685,P_PLUS_40,active,2022-11-13,,METRO
S00000113,SUB-00000113,C0000050,SUBSCR-0000113,33968785312,743924673184499,P_PREMIUM_120,active,2025-12-27,,METRO
S00000114,SUB-00000114,C0000050,SUBSCR-0000114,33194502090,662856866268943,P_PREMIUM_120,active,2023-05-24,,METRO
S00000115,SUB-00000115,C0000051,SUBSCR-0000115,33442330295,674943195312601,P_PLUS_40,active,2024-03-07,,WEST
S00000116,SUB-00000116,C0000051,SUBSCR-0000116,33891244742,563846336517091,P_BASIC_10,active,2023-07-23,,WEST
S00000117,SUB-00000117,C0000052,SUBSCR-0000117,33332954292,064359799042339,P_BIZ_200,active,2025-02-01,,NORTH
S00000118,SUB-00000118,C0000053,SUBSCR-0000118,33136272836,611306961662332,P_BIZ_200,churned,2025-03-13,2025-08-28,SOUTH
S00000119,SUB-00000119,C0000053,SUBSCR-0000119,33829179995,091531863544203,P_BIZ_200,active,2025-01-10,,SOUTH
S00000120,SUB-00000120,C0000054,SUBSCR-0000120,33485177009,158751953885910,P_PLUS_40,active,2025-11-09,,CENTER
S00000121,SUB-00000121,C0000054,SUBSCR-0000121,33124861466,952921559787139,P_PLUS_40,active,2023-01-12,,CENTER
S00000122,SUB-00000122,C0000055,SUBSCR-0000122,33050045145,754094407055617,P_PREMIUM_120,active,2024-11-08,,SOUTH
S00000123,SUB-00000123,C0000055,SUBSCR-0000123,33804363531,002166841232700,P_PREMIUM_120,active,2025-05-04,,SOUTH
S00000124,SUB-00000124,C0000055,SUBSCR-0000124,33176189398,461320251492066,P_BIZ_200,active,2025-06-30,,SOUTH
S00000125,SUB-00000125,C0000056,SUBSCR-0000125,33129598648,423314560604577,P_PLUS_40,active,2025-10-17,,WEST
S00000126,SUB-00000126,C0000056,SUBSCR-0000126,33076829005,603253751002182,P_BASIC_10,active,2025-10-23,,WEST
S00000127,SUB-00000127,C0000057,SUBSCR-0000127,33827043907,,P_PLUS_40,active,2025-12-07,,SOUTH
S00000128,SUB-00000128,C0000057,SUBSCR-0000128,33763087408,673237098471354,P_PLUS_40,active,2025-10-17,,SOUTH
S00000129,SUB-00000129,C0000058,SUBSCR-0000129,33962272833,332507914271254,P_BASIC_10,churned,2024-06-07,2025-08-28,METRO
S00000130,SUB-00000130,C0000059,SUBSCR-0000130,33593163785,509890104179682,P_PREMIUM_120,active,2023-06-15,,EAST
S00000131,SUB-00000131,C0000059,SUBSCR-0000131,33546561208,111387607773027,P_BIZ_200,churned,2025-06-10,2025-08-19,EAST
S00000132,SUB-00000132,C0000060,SUBSCR-0000132,33759756151,947935794305838,P_BASIC_10,active,2025-11-29,,EAST
S00000133,SUB-00000133,C9999993,SUBSCR-0000133,33872753170,412789431615206,P_BASIC_10,active,2025-07-26,,EAST
S00000134,SUB-00000134,C0000061,SUBSCR-0000134,33927986338,609455169192869,P_BASIC_10,active,2025-10-20,,WEST
S00000135,SUB-00000135,C0000061,SUBSCR-0000135,33597626173,361010561347882,P_PLUS_40,active,2024-06-10,,WEST
S00000136,SUB-00000136,C0000062,SUBSCR-0000136,33071634022,254448591525484,P_PLUS_40,active,2025-12-10,,SOUTH
S00000137,SUB-00000137,C0000062,SUBSCR-0000137,33858410638,992183866214883,P_PLUS_40,active,2024-11-08,,SOUTH
S00000138,SUB-00000138,C9999992,SUBSCR-0000138,33236396331,067717816091329,P_PLUS_40,churned,2024-02-05,2024-07-06,METRO
S00000139,SUB-00000139,C0000063,SUBSCR-0000139,33058104666,624268942123615,P_BASIC_10,active,2025-03-06,,METRO
S00000140,SUB-00000140,C0000063,SUBSCR-0000140,33751111020,021019759339813,P_PLUS_40,active,2025-03-20,,METRO
S00000141,SUB-00000141,C0000064,SUBSCR-0000141,33866609882,408467934529278,P_PLUS_40,active,2025-12-18,,SOUTH
S00000142,SUB-00000142,C0000065,SUBSCR-0000142,33594807411,957796893621847,P_BIZ_200,active,2025-11-08,,EAST
S00000143,SUB-00000143,C0000066,SUBSCR-0000143,33506669668,566059828019747,P_PLUS_40,active,2025-09-01,,EAST
S00000144,SUB-00000144,C0000066,SUBSCR-0000144,33032645068,798873342305977,P_PREMIUM_120,active,2023-04-01,,EAST
S00000145,SUB-00000145,C0000066,SUBSCR-0000145,33329824784,464289616157049,P_BIZ_200,active,2023-07-17,,EAST
S00000146,SUB-00000146,C0000066,SUBSCR-0000146,33715133157,174739417635235,P_BIZ_200,active,2024-03-30,,EAST
S00000147,SUB-00000147,C0000067,SUBSCR-0000147,33203943708,204904938540668,P_PREMIUM_120,active,2025-03-11,,EAST
S00000148,SUB-00000148,C9999992,SUBSCR-0000148,33987572524,242299423790486,P_PREMIUM_120,active,2024-06-10,,EAST
S00000149,SUB-00000149,C0000067,SUBSCR-0000149,33622959430,361123114807458,P_PLUS_40,active,2024-11-22,,EAST
S00000150,SUB-00000150,C0000067,SUBSCR-0000150,33372968612,790710617494814,P_PLUS_40,churned,2024-04-13,2025-06-09,EAST
S00000151,SUB-00000151,C0000068,SUBSCR-0000151,33537686807,245254055073849,P_PLUS_40,active,2022-08-28,,METRO
S00000152,SUB-00000152,C0000068,SUBSCR-0000152,33550667172,723683439199728,P_BIZ_200,active,2023-11-25,,METRO
S00000153,SUB-00000153,C0000068,SUBSCR-0000153,33058269958,654826104990361,P_PREMIUM_120,active,2025-11-07,,METRO
S00000154,SUB-00000154,C0000069,SUBSCR-0000154,33460633379,088134554244065,P_PREMIUM_120,active,2025-08-12,,SOUTH
S00000155,SUB-00000155,C0000070,SUBSCR-0000155,33219981343,411542688544196,P_PLUS_40,churned,2025-06-08,2025-08-18,EAST
S00000156,SUB-00000156,C0000070,SUBSCR-0000156,33754362421,026890321133167,P_BASIC_10,active,2025-01-20,,EAST
S00000157,SUB-00000157,C9999990,SUBSCR-0000157,33441897960,894999343097430,P_PREMIUM_120,active,2025-11-02,,EAST
S00000158,SUB-00000158,C0000071,SUBSCR-0000158,33557888753,343847364798506,P_PLUS_40,active,2025-08-16,,METRO
S00000159,SUB-00000159,C0000072,SUBSCR-0000159,33815747210,674843231334605,P_PLUS_40,active,2025-01-01,,CENTER
S00000160,SUB-00000160,C0000072,SUBSCR-0000160,33353341876,098773374254189,P_PREMIUM_120,active,2025-12-18,,CENTER
S00000161,SUB-00000161,C9999994,SUBSCR-0000161,33093482670,966107933006665,P_PLUS_40,active,2024-10-14,,CENTER
S00000162,SUB-00000162,C0000073,SUBSCR-0000162,33059586891,754093659342419,P_PLUS_40,active,2024-03-06,,WEST
S00000163,SUB-00000163,C0000074,SUBSCR-0000163,33463086211,474591506334217,P_PREMIUM_120,active,2025-11-30,,EAST
S00000164,SUB-00000164,C0000074,SUBSCR-0000164,33208048459,397297774966807,P_PREMIUM_120,active,2025-05-16,,EAST
S00000165,SUB-00000165,C9999991,,33069096538,055893409565552,P_PREMIUM_120,active,2025-12-13,,EAST
S00000166,SUB-00000166,C0000075,SUBSCR-0000166,33161008688,617250505497443,P_BIZ_200,active,2023-08-31,,CENTER
S00000167,SUB-00000167,C0000076,,33020460924,060902582462164,P_PREMIUM_120,churned,2024-09-13,2024-10-08,CENTER
S00000168,SUB-00000168,C0000076,SUBSCR-0000168,33267941783,333527474619783,P_BIZ_200,active,2024-06-19,,CENTER
S00000169,SUB-00000169,C0000076,SUBSCR-0000169,33999198312,004589709285545,P_PREMIUM_120,active,2022-07-24,,CENTER
S00000170,SUB-00000170,C0000077,SUBSCR-0000170,33035885097,209837755748660,P_PLUS_40,active,2025-09-17,,NORTH
S00000171,SUB-00000171,C0000077,SUBSCR-0000171,33232928328,545847201047808,P_PREMIUM_120,active,2025-01-19,,NORTH
S00000172,SUB-00000172,0000077,SUBSCR-0000172,33223288594,740203687127870,P_PLUS_40,active,2025-05-06,,NORTH
S00000173,SUB-00000173,C0000078,SUBSCR-0000173,33376636628,762283238801930,P_PLUS_40,active,2025-03-08,,WEST
S00000174,SUB-00000174,C0000078,SUBSCR-0000174,33546716926,849406422772625,P_BASIC_10,active,2025-04-05,,WEST
S00000175,SUB-00000175,C0000078,SUBSCR-0000175,33447826866,938609710592510,P_PREMIUM_120,active,2025-07-20,,WEST
S00000176,SUB-00000176,C0000079,SUBSCR-0000176,33850872343,906838782044261,P_PLUS_40,active,2025-10-08,,SOUTH
S00000177,SUB-00000177,C0000079,SUBSCR-0000177,33305446853,048339832411171,P_PREMIUM_120,active,2025-06-14,,SOUTH
S00000178,SUB-00000178,0000079,SUBSCR-0000178,33730210682,399102279280349,P_PLUS_40,active,2025-06-19,,SOUTH
S00000179,SUB-00000179,C0000080,SUBSCR-0000179,33584865428,130746823709080,P_BASIC_10,active,2025-10-06,,SOUTH
S00000180,SUB-00000180,C0000080,SUBSCR-0000180,33633095734,697802811189884,P_PREMIUM_120,active,2025-11-15,,SOUTH
S00000181,SUB-00000181,C9999998,SUBSCR-0000181,33767692821,935176681519982,P_PLUS_40,active,2025-11-14,,SOUTH
S00000182,SUB-00000182,C0000081,SUBSCR-0000182,33233272511,728092425308470,P_BIZ_200,active,2023-11-11,,EAST
S00000183,SUB-00000183,C0000082,SUBSCR-0000183,33007302171,495849685088773,P_BIZ_200,active,2024-08-09,,METRO
S00000184,SUB-00000184,C0000082,SUBSCR-0000184,33692396412,342197893233753,P_PREMIUM_120,active,2023-12-19,,METRO
S00000185,SUB-00000185,C0000083,SUBSCR-0000185,33256974305,276354386070862,P_PREMIUM_120,active,2025-12-27,,SOUTH
S00000186,SUB-00000186,C0000084,SUBSCR-0000186,33430115762,031282895857567,P_BASIC_10,active,2025-07-19,,EAST
S00000187,SUB-00000187,C0000085,SUBSCR-0000187,33733755057,149648344303809,P_BIZ_200,active,2025-12-12,,NORTH
S00000188,SUB-00000188,C0000085,SUBSCR-0000188,33705808586,214490747732720,P_BIZ_200,active,2025-01-21,,NORTH
S00000189,SUB-00000189,C0000085,SUBSCR-0000189,33422459676,231187850541217,P_PLUS_40,active,2024-12-19,,NORTH
S00000190,SUB-00000190,C0000085,SUBSCR-0000190,33486702466,138575327687476,P_BIZ_200,active,2025-12-21,,NORTH
S00000191,SUB-00000191,C0000085,SUBSCR-0000191,33333542113,524339326694608,P_BIZ_200,active,2025-07-16,,NORTH
S00000192,SUB-00000192,C9999993,SUBSCR-0000192,33957202548,446444982938203,P_PREMIUM_120,active,2025-12-12,,NORTH
S00000193,SUB-00000193,C0000086,,33466385239,146160908499651,P_BIZ_200,active,2025-01-15,,EAST
S00000194,SUB-00000194,C0000086,SUBSCR-0000194,33438717838,522051244673072,P_PREMIUM_120,active,2025-12-28,,EAST
S00000195,SUB-00000195,C0000086,SUBSCR-0000195,33637082265,157545030262872,P_BIZ_200,active,2025-06-04,,EAST
S00000196,SUB-00000196,C0000087,SUBSCR-0000196,33492078156,377297548624184,P_PLUS_40,suspended,2025-07-24,,CENTER
S00000197,SUB-00000197,C0000087,SUBSCR-0000197,33339427951,338844379466111,P_PREMIUM_120,active,2025-12-03,,CENTER
S00000198,SUB-00000198,C0000087,SUBSCR-0000198,33749585793,072997747359218,P_PLUS_40,active,2025-08-15,,CENTER
S00000199,SUB-00000199,C0000088,SUBSCR-0000199,33765517763,185125362865162,P_PLUS_40,active,2025-09-30,,METRO
S00000200,SUB-00000200,C0000088,SUBSCR-0000200,33917362952,290784080075639,P_PLUS_40,active,2025-10-03,,METRO
S00000201,SUB-00000201,C0000089,SUBSCR-0000201,33003216263,485176701983980,P_PLUS_40,active,2025-10-30,,SOUTH
S00000202,SUB-00000202,C0000089,SUBSCR-0000202,33939256117,816422334397401,P_PREMIUM_120,active,2025-10-18,,SOUTH
S00000203,SUB-00000203,C0000090,SUBSCR-0000203,33022537772,239369304099750,P_PLUS_40,active,2024-07-17,,METRO
S00000204,SUB-00000204,C0000090,,33676741954,182568551622937,P_BIZ_200,active,2023-01-23,,METRO
S00000205,SUB-00000205,C0000091,SUBSCR-0000205,33076781480,298899940080541,P_BIZ_200,active,2025-11-26,,WEST
S00000206,SUB-00000206,C0000091,SUBSCR-0000206,33352428849,497718364056687,P_PREMIUM_120,suspended,2024-09-21,,WEST
S00000207,SUB-00000207,C0000091,SUBSCR-0000207,33980930854,945434138918748,P_PREMIUM_120,active,2024-06-01,,WEST
S00000208,SUB-00000208,C0000092,SUBSCR-0000208,33912150694,280394743503386,P_BASIC_10,active,2025-05-13,,CENTER
S00000209,SUB-00000209,C0000092,SUBSCR-0000209,33480914843,858452430682824,P_BASIC_10,active,2025-12-02,,CENTER
S00000210,SUB-00000210,C0000092,SUBSCR-0000210,33384619320,222602541900511,P_BASIC_10,active,2025-08-15,,CENTER
S00000211,SUB-00000211,C0000093,SUBSCR-0000211,33193127600,067835617210376,P_BASIC_10,suspended,2025-03-22,,WEST
S00000212,SUB-00000212,C0000094,SUBSCR-0000212,33216702381,779392228380667,P_PREMIUM_120,active,2024-11-04,,NORTH
S00000213,SUB-00000213,C9999999,SUBSCR-0000213,33482866304,821051376653915,P_PLUS_40,suspended,2023-11-23,,CENTER
S00000214,SUB-00000214,C0000095,SUBSCR-0000214,33586228295,879729602512051,P_BASIC_10,suspended,2025-02-20,,CENTER
S00000215,SUB-00000215,C9999990,SUBSCR-0000215,33050485535,632668059353325,P_BASIC_10,active,2024-04-09,,CENTER
